autor,calificacion,contenido,hotel,titulo
Thiago K,50,"Very fun tour. Had Sammy,, Rick and Elena as our skipper and hosts. Just amazing. Definitely recommend. Good history with wine and cheese to go along. ","Amsterdam Classic Boat Cruise with Live Guide, Drinks and Cheese",Very nice 
Thiago K,50,"Great stay with my family. Came for the Copa Libertadores final. Hotel was fully booked with lots of fans, but the service was very good. Prices at the restaura,...",Radisson Hotel Guayaquil,Great service at great price
Thiago K,30,"Went to dinner with a couple of friends. We arrived at 8:30pm and the place was almost empty apart from a few tables sitting 2-3 each. At arrival we were inform,...",Cantón Peruvian & Chinese Food - Niterói,"Good food, OK price, bad service"
Thiago K,40,"Had heard some nice things about the place and decided to check it out for a Sunday lunch. We ordered the Arancini as a starter and it was just wonderful, cru,...",Posi Mozza & Mare,Good Italian with reasonable price
Thiago K,50,"A true gastronomic experience in a cozy and vibey environment at great price!!!Super talented chef, amazing dishes. Was taken back my childhood eating their F,...",Refresc House,Brazilian Must in Barcelona
Angus H,50,"Several visits to the Resturant, good food great service.Will always return! Interesting route through the jungle.Interesting that they serve Cow Soi a Northe,...",Cabbages and Condoms,Good food beautiful View
Angus H,30,"Old and not very well kept down town hotel right in the Malecon. Room was old and dated. Carpet needed a good clean. Shower and baths tiles need cleaning a lot ,...",Hotel Ramada,One night in Guayquil
Angus H,,I have stayed at Oasis beach next door for almost 3  years watched them build levent looks super nice and very similar to the oasis where I stay,Aruba,
Angus H,50,"Choose because of high review status and close to my hotel.Fairly early to eat by European standard at 19.30 but great service clean and well maintained premis,...",A Parte,Wonderful chance choice
Angus H,40,"Flo restaurants take older building refurbish them and turn into a French Brassiere all I have visited have been excellent! Service was great, my friend is Fren,...",Brasserie Excelsior,Dinner with friends
Angus H,50,"Great apartment style hotel, wanted to stay for a while and finally made the change.Room is clean and super well maintained!I think they were just renovating ,...",Altera Hotel & Residence,Finally a nice apartment style room well maintained well laid out and very comfortable
Angus H,50,"Have eaten here many times, I have never been disappointed, alway good service and excellent food. Great view of the ocean, jam packed at times, but never seems,...",Preecha Seafood Restaurant,Awesome fresh seafood restaurant on the beach
Angus H,40,Good fresh Mixed Sashimi and tasty Spicy Tuna Don.Quiet lunch time meal attentive staff nice atmosphere.,Odori-ko Restaurant,Sashimi and Spicy Tuna for lunch
Angus H,50,"Knowledgeable friendly staff, courteous and very helpful. Great range of Omega products and great price, would definitely return to purchase again.",Gemani Jewelers Aruba,Wonderful experience
Angus H,50,"Fantastic shopping experience, all of the latest Breitling models and beautifully displayed. Many thanks to Laura who went above and beyond to help with my dema,...",Breitling Boutique Aruba,Wonderful Breitling Boutique
Angus H,50,"I had the Pork Snitzel with mushroom sauce and extra fried mushroom. German friend potatoes and a side salad. Great attentive staff that spoke english. Good far,...",Am Holztor,Wonderfully simple german meal
paulknapp,30,"Honestly if I was in my 20's and was backpacking wanting to meet young people, this would be a great place to stay.  I'm in my mid 30's traveling with my wife, ,...",Manso Boutique Guesthouse,Looks more charming than it is.
paulknapp,40,"This hotel is not your average hotel.  It is a 1920's style mansion that was converted to a hotel at some point.  It's a little rough around the edges, but was ,...",Mansion del Rio,Charming Hotel in charming area.
paulknapp,40,"We enjoyed our stay at this clean hotel with a pool.  It's not amazing, but it is very good. Marco the staff member was very friendly and helpful giving us gre,...",Hotel Santa Fe,"Nice Hotel, no issues"
paulknapp,50,"This is the place to stay if you come to Puerto Villamil.  Met Marita briefly, during our stay and she is lovely.  Her staff is exceptional as well!  The locati,...",Hotel La Casa De Marita,Best Boutique Hotel on Isla Isabella
paulknapp,30,"My wife and I (mid 30's, Chicago) booked this for a quick nights stay before we headed back to the airport.  At $70 per night, we should have just went back to ,...",Hostal Inti Wasi - Plaza de Armas,On par with a Motel 6.
