autor,calificacion,contenido,hotel,titulo
Thiago K,50,"Very fun tour. Had Sammy,, Rick and Elena as our skipper and hosts. Just amazing. Definitely recommend. Good history with wine and cheese to go along. ","Amsterdam Classic Boat Cruise with Live Guide, Drinks and Cheese",Very nice 
Thiago K,50,"Great stay with my family. Came for the Copa Libertadores final. Hotel was fully booked with lots of fans, but the service was very good. Prices at the restaura,...",Radisson Hotel Guayaquil,Great service at great price
Thiago K,30,"Went to dinner with a couple of friends. We arrived at 8:30pm and the place was almost empty apart from a few tables sitting 2-3 each. At arrival we were inform,...",Cantón Peruvian & Chinese Food - Niterói,"Good food, OK price, bad service"
Thiago K,40,"Had heard some nice things about the place and decided to check it out for a Sunday lunch. We ordered the Arancini as a starter and it was just wonderful, cru,...",Posi Mozza & Mare,Good Italian with reasonable price
Thiago K,50,"A true gastronomic experience in a cozy and vibey environment at great price!!!Super talented chef, amazing dishes. Was taken back my childhood eating their F,...",Refresc House,Brazilian Must in Barcelona
Tony S,40,"Hola q tal ,,amigos ,,vengan a disfrutar de la capital y que mejor hospedarse en un lugar bien ubicado,,.chevere ,,para pasar con amigos ,familia o pareja ,,aco,...",Ibis Quito Hotel,nuevas oportunidades 
Tony S,40,"En el centro comercial ,Jardín ,,es un genial lugar para pasear y sobre todo para degustar de un buen plato ,en compañía de familia ,,amigos y pareja ,,es te ,...",Hansel & Gretel,"Buena comida,,genial,"
Tony S,40,"Si visitas Galapagos ,,un lugar sin duda q tienen que visitar es la Estación Charles Darwin,,el mejor,,para los estudios de la flora y  fauna de la islas ,está ,...",Charles Darwin Research Station,Lo mejor
Tony S,40,"Un lugar para pasar en Santa Cruz ,Galápagos..es el Hostal Muyuyo ,,excelente ubicación ,,,cerca a tan solo 3 cuadras del malecón ,sus propietarios los atienden,...",Hostal Muyuyo,"Galapagos,,H?Muyuyo"
Tony S,40,"Para quienes les gusta de una buena caminata y disfrutar de su paisaje q nos da la ciudad de Guayaquil ,,sus restaurantes y su amplia comida ,,muy elegantes la,...",Puerto Santa Ana Riverfront I,Relax 
Tony S,40,"Para Llegar ,,Quito,,,por la Av, de los shirys de sur a Norte una calla antes de llegar de la Río Coca,a la derecha está uno de los mejores lugar para comer com,...",Cevichería Cedenos,Los mejor del Mar
Tony S,40,"Viaje a mi tierra ,Galápagos ,Santa cruz,,este es un vuelo con una escala intermedia,en la ciudad de Guayaquil ,el primer tramo tiene una duración de 40 mtos ,,...",TAME Vuela Ecuador,"Confortable,,"
Tony S,40,"Una buena opción de Hospedaje en las Islas Encantadas ,en Puerto Ayora ,es Capitán Max..un lugar pintoresco con buena ubicación ,,tanto en las noches para comer,...",Capitan Max B&B,"Hospedaje ,Isla Santa Cruz ,Gps"
Tony S,40,"Primeramente ,su ubicación es espectacular ,una vista genial muy acogedor para pasar n buen momento   en compañía de sus amigos ,familia ,o en pareja , sus due,...",Andrea & Valerio,Simplemente lo mejor en Santa Cruz
Tony S,40,"En su nuevo local ,la atención sigue siendo excelente ,tanto para disfrutar de sus platos como de la compañía sea está de amigos o en pareja o familia ,,cada un,...",IslaGrill,Súper 
Tony S,40,"Si quieren algo fuera de serie ,este es el lugar indicado ,el mejorlugar en Cumbaya Quito Ecuador ,,sus propios dueños los recibirán ,tanto Nacho como José ,,c,...",Nuum,"Lo Mejor en Gastronomía ,,"
Tony S,40,"Su ubicación está genial una área comercial ,,,su personal genial,,y su local ,muy limpio elegante a la vez ,su carta del menú es muy extensa ,desde el Sushi ,,,...",NOE Sushi Bar - C. C. San Marino,Sushi y algo más 
Tony S,40,"Para disfrutar de las playas y tranquilidad les recomiendo este lugar a unos 30 mtos o menos pasando tonsupa,,Same ,,encontramos hosteria el Acantilado ,,,tiene,...",El Acantilado Beach Hotel,"Same,,Esmeraldas"
